Name,Link
obama,http://millercenter.org/president/obama/speeches/remarks-on-the-death-of-osama-bin-laden
obama,http://millercenter.org/president/obama/speeches/remarks-on-the-death-of-osama-bin-laden
obama,http://millercenter.org/president/obama/speeches/remarks-on-the-death-of-osama-bin-laden
obama,http://millercenter.org/president/obama/speeches/speech-on-american-diplomacy-in-the-middle-east-and-north-africa
obama,http://millercenter.org/president/obama/speeches/speech-on-american-diplomacy-in-the-middle-east-and-north-africa
obama,http://millercenter.org/president/obama/speeches/speech-on-american-diplomacy-in-the-middle-east-and-north-africa
obama,http://millercenter.org/president/obama/speeches/speech-on-american-diplomacy-in-the-middle-east-and-north-africa
obama,http://millercenter.org/president/obama/speeches/address-to-the-british-parliament
obama,http://millercenter.org/president/obama/speeches/address-to-the-british-parliament
obama,http://millercenter.org/president/obama/speeches/address-to-the-british-parliament
obama,http://millercenter.org/president/obama/speeches/address-to-the-british-parliament
obama,http://millercenter.org/president/obama/speeches/remarks-on-the-afghanistan-pullout
obama,http://millercenter.org/president/obama/speeches/remarks-on-the-afghanistan-pullout
obama,http://millercenter.org/president/obama/speeches/remarks-on-the-afghanistan-pullout
obama,http://millercenter.org/president/obama/speeches/remarks-on-the-afghanistan-pullout
obama,http://millercenter.org/president/obama/speeches/address-to-congress-on-the-american-jobs-act
obama,http://millercenter.org/president/obama/speeches/address-to-congress-on-the-american-jobs-act
obama,http://millercenter.org/president/obama/speeches/address-to-congress-on-the-american-jobs-act
obama,http://millercenter.org/president/obama/speeches/address-to-congress-on-the-american-jobs-act
obama,http://millercenter.org/president/obama/speeches/remarks-on-the-end-of-the-war-in-iraq
obama,http://millercenter.org/president/obama/speeches/remarks-on-the-end-of-the-war-in-iraq
obama,http://millercenter.org/president/obama/speeches/remarks-on-the-end-of-the-war-in-iraq
obama,http://millercenter.org/president/obama/speeches/remarks-on-the-end-of-the-war-in-iraq
obama,http://millercenter.org/president/obama/speeches/2012-state-of-the-union-address
obama,http://millercenter.org/president/obama/speeches/2012-state-of-the-union-address
obama,http://millercenter.org/president/obama/speeches/2012-state-of-the-union-address
