,idno_name,dwnom1,label
0,99871_ JEFFERSON    ,0.0209999997169,4
1,99872_ MADISON      ,0.0799999982119,4
2,99873_ MONROE       ,0.149000003934,4
3,99874_ ADAMS J Q    ,0.377000004053,5
4,99875_ JACKSON      ,-0.215000003576,3
5,99876_ VAN BUREN    ,0.0480000004172,4
6,99878_ TYLER        ,0.22499999404,4
7,99879_ POLK         ,-0.665000021458,1
8,99882_ PIERCE       ,0.217999994755,4
9,99883_ BUCHANAN     ,-0.630999982357,1
10,99884_ LINCOLN      ,0.375,5
11,99886_ GRANT        ,0.163000002503,4
12,99889_ ARTHUR       ,0.0939999967813,4
13,99890_ CLEVELAND    ,-0.372999995947,2
14,99891_ HARRISON B   ,0.236000001431,4
15,99892_ MCKINLEY     ,0.223000004888,4
16,99893_ ROOSEVELT    ,0.428000003099,5
17,99894_ TAFT         ,0.230000004172,4
18,99895_ WILSON       ,-0.402000010014,2
19,99896_ HARDING      ,0.46099999547,5
20,99897_ COOLIDGE     ,0.370000004768,5
21,99899_ ROOSEVELT F  ,-0.246799990535,3
22,99900_ TRUMAN       ,-0.275999993086,2
23,99901_ EISENHOWER   ,0.127000004053,4
24,99902_ KENNEDY      ,-0.629999995232,1
25,99903_ JOHNSON      ,-0.521000027657,1
26,99904_ NIXON        ,0.46099999547,5
27,99905_ FORD         ,0.486000001431,5
28,99906_ CARTER       ,-0.728999972343,1
29,99907_ REAGAN       ,0.737999975681,6
30,99908_ BUSH         ,0.648999989033,6
31,99909_ CLINTON      ,-0.479999989271,2
32,99910_ BUSH         ,0.981000006199,7
33,99911_ OBAMA        ,-0.377999991179,2
